claim_id,claim_text,subject,domain,claim_type,status,confidence,source_ids,supporting_locations,contradicting_source_ids,first_seen,last_checked,as_of,refresh_by,scope,unresolved_gap,owner,decision_use,supersedes,superseded_by
"C-001","Current OpenAI guidance favors clear outcome context constraints success evidence and output requirements without redundant prompt bloat.","OpenAI prompting","prompt specification","external source summary","Grounded fact","high","S-001;S-003;S-004","current model guide and prompting construction sections","","2026-07-28","2026-07-28","2026-07-28","2026-08-28","Current documented OpenAI surfaces only","Local causal contribution is untested","Project owner (identity unresolved)","T-001 and T-002 definition","",""
"C-002","OpenAI reasoning guidance does not require hidden chain-of-thought requests and recommends concise direct prompting on its supported reasoning surfaces.","OpenAI reasoning","reasoning prompting","external source summary","Grounded fact","high","S-004","reasoning prompting recommendations","","2026-07-28","2026-07-28","2026-07-28","2026-08-28","Documented OpenAI reasoning-model surfaces","Exact behavior on the unresolved target model is Unknown","Project owner (identity unresolved)","Reject obsolete chain-of-thought incantations","",""
"C-003","OpenAI prompt optimization guidance depends on datasets and narrow graders and requires evaluation plus manual review because optimized prompts can regress on particular inputs.","OpenAI prompt optimization","evaluation","external source summary","Grounded fact","high","S-005;S-006","optimizer workflow and evaluation best practices","","2026-07-28","2026-07-28","2026-07-28","2026-08-28","OpenAI optimizer and eval guidance","Local grader calibration is not designed","Project owner (identity unresolved)","T-014 promotion gate","",""
"C-004","Anthropic describes effective context engineering as curating the smallest high-signal context and includes just-in-time exploration and compaction for long work.","Anthropic context engineering","context","external source summary","Grounded fact","high","S-008","conclusion and context-management techniques","","2026-07-28","2026-07-28","2026-07-28","2026-10-28","Anthropic-described agent systems","Transfer to current Codex tasks is untested","Project owner (identity unresolved)","T-005 definition","",""
"C-005","Anthropic tool guidance recommends context-efficient responses with filtering pagination or truncation and actionable errors and evaluates end-task behavior rather than schemas alone.","Anthropic agent tools","tool design","external source summary","Grounded fact","high","S-009","tool-response efficiency and evaluation sections","","2026-07-28","2026-07-28","2026-07-28","2026-10-28","Anthropic-described tool systems","Transfer to all MCP tools is untested","Project owner (identity unresolved)","T-007 definition","",""
"C-006","Anthropic agent-evaluation guidance combines code-based model-based and human graders across outcomes and transcripts and notes that model graders require calibration.","Anthropic agent evals","evaluation","external source summary","Grounded fact","high","S-010","types of graders for agents","","2026-07-28","2026-07-28","2026-07-28","2026-10-28","Anthropic evaluation guidance","A local calibrated grader set is absent","Project owner (identity unresolved)","T-014 grader policy","",""
"C-007","Anthropic's long-running harness report shows that useful orchestration structure can become unnecessary overhead as model capability changes.","Long-running harnesses","orchestration","external source summary","Grounded fact","high","S-011","removing the sprint construct","","2026-07-28","2026-07-28","2026-07-28","2026-10-28","Reported application-development harness","General transfer is Unknown","Project owner (identity unresolved)","T-016 and T-017 caution","",""
"C-008","First-party example guidance is surface-specific enough that one universal few-shot policy is not justified.","Example policy","prompting","inference","Looks believable","medium","S-004;S-007;S-012","zero-shot and few-shot guidance sections","","2026-07-28","2026-07-28","2026-07-28","2026-08-28","Current documented vendor surfaces","Need exact matched-task cross-surface tests","Project owner (identity unresolved)","T-003 and T-004 routing","",""
"C-009","Gemini function calling supports multi-turn sequential and parallel calls while the application remains responsible for executing functions.","Gemini function calling","tool use","external source summary","Grounded fact","high","S-013","how function calling works","","2026-07-28","2026-07-28","2026-07-28","2026-08-28","Gemini API","Codex and ChatGPT transfer is Unknown","Project owner (identity unresolved)","T-009 contract","",""
"C-010","Gemini structured-output guidance distinguishes syntactically valid JSON from semantically correct values and requires application validation and error handling.","Gemini structured output","output contracts","external source summary","Grounded fact","high","S-014","best practices","","2026-07-28","2026-07-28","2026-07-28","2026-08-28","Gemini structured-output surface","Repair strategy effectiveness is untested","Project owner (identity unresolved)","T-006 validation requirement","",""
"C-011","The local professionalize-prompt artifact combines specification transformation execution modes domain adaptation validation and a model-current reference.","professionalize-prompt","local skill design","direct observation","Grounded fact","high","S-015","workflow execution modes domain adaptation final check","","2026-07-28","2026-07-28","2026-07-28","2026-08-28","Local artifact structure only","Component-level contribution to outcomes is untested","Project owner (identity unresolved)","Anchor for NEXT_ACTION-001","",""
"C-012","Least-to-Most and Self-Discover report strong decomposition gains on their tested benchmarks but do not establish general current-model gains.","Decomposition","reasoning workflow","external source summary","Grounded fact","high","S-016;S-017","reported benchmark comparisons and methods","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper models tasks and settings","Current-model transfer and error propagation are Unknown","Project owner (identity unresolved)","T-010 evidence state","",""
"C-013","KATE and Auto-CoT report gains from similarity or diversity-based demonstration selection in their tested systems.","Demonstration selection","examples","external source summary","Grounded fact","high","S-018;S-019","reported experiment results","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper models tasks and settings","Modern zero-shot baseline contamination and ordering effects remain","Project owner (identity unresolved)","T-003 evidence state","",""
"C-014","Self-Consistency and Tree of Thoughts report large gains on selected scoreable tasks while multiplying inference or search cost.","Deliberation","reasoning workflow","external source summary","Grounded fact","high","S-020;S-021","reported benchmark comparisons","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Selected benchmark tasks","Open-ended aggregation and matched-budget comparison are unresolved","Project owner (identity unresolved)","T-015 evidence state","",""
